catid,observation_count
106016,2
106042,2
106049,2
106065,2
106717,2
107594,2
107824,3
136232,2
136238,2
136240,2
136263,2
136308,2
138066,3
138094,4
138132,4
143148,2
143227,3
144402,2
144465,4
144491,4
144498,4
144682,4
15165,2
15220,2
16863,2
16920,2
16926,2
16948,2
17314,3
17390,3
176868,2
176934,2
176955,2
178481,4
178578,4
183932,2
184042,2
184046,2
184122,3
185510,4
185532,4
202673,2
205089,2
227290,3
227351,3
227407,3
227607,2
227611,2
227673,2
228428,2
228432,2
229167,2
229263,2
238080,3
238125,3
238214,3
238458,2
238500,2
239172,2
239249,2
239292,2
239376,2
240205,2
240227,2
250192,2
250466,2
250473,2
28860,2
288923,2
288999,2
296713,3
296847,3
297053,2
297667,3
297705,2
298572,2
298591,2
298665,2
30346,2
30361,3
30472,3
31620,4
318936,3
319049,3
319060,3
319139,3
319231,2
319290,2
319400,2
319453,2
319499,2
320068,2
320124,2
32362,4
346718,2
347432,2
36923,3
373248,2
39057,3
39131,3
39145,3
40482,2
41144,4
41164,4
418725,2
463367,3
463434,3
47460,3
47493,3
487019,2
487060,2
487175,2
491743,3
493702,3
493838,2
49670,3
49677,3
496978,3
49702,3
49728,3
506038,2
506070,2
506119,2
509726,2
509852,2
509892,2
513267,2
534760,3
534763,3
534793,3
534885,3
537163,3
537171,4
537187,4
537367,4
537417,4
543797,3
543860,3
543895,3
545903,3
545925,3
545986,3
546073,2
56064,4
56140,4
56183,3
561856,4
567682,3
567750,2
567760,3
567876,2
567983,2
570033,3
570090,3
570110,3
570114,3
592401,2
592421,2
592466,2
592542,2
593526,2
593642,3
618904,2
618930,2
618937,2
618941,2
619989,3
619995,3
620091,3
620092,3
62593,2
62718,2
63779,2
77445,2
77452,2
78355,2
78406,2
78425,2
79706,3
79734,3
79810,3
9008500007,2
9008500181,2
9008500239,2
9008500251,2
9011900003,2
9011900038,2
9011900086,2
9011900097,2
9011900115,2
9011900152,2
9011900302,2
9011900312,2
9011900321,2
9011900476,2
9011900708,2
9011900865,2
9016800014,2
9016800038,2
9016800087,2
9016800092,2
9016800105,2
9016800143,2
9016800171,2
9016800231,2
9016800259,2
9016800266,2
9016800358,2
9016800385,2
9044200179,2
9091700089,2
9091700107,2
9091700135,2
9091700152,3
91959,2
9239900024,2
9239900202,2
9239900208,2
9239900242,2
9239900268,2
9239900289,2
9239900446,2
92676,2
92739,2
93807,3
9388000001,2
9388000003,2
9388000041,2
9388000043,2
9388000044,2
9388000051,2
9388000058,2
9388000068,2
9388000073,2
9388000080,2
9388000105,2
9388000132,2
9388000142,2
9388000160,2
9388000190,2
9388000195,2
9388000200,2
9388000219,2
9388000256,2
9388000364,2
9388000391,2
9388000397,2
9388000437,2
9388000487,2
93885,3
9403800798,2
