cubeid,cubeidpub,cubename,catid,pa_stelkin,pa_stelkin_err,sigma_re,sigma_re_err,sigma_3kpc_round,sigma_3kpc_round_err,sigma_1_4_arcsecond,sigma_1_4_arcsecond_err,sigma_2_arcsecond,sigma_2_arcsecond_err,sigma_3_arcsecond,sigma_3_arcsecond_err,sigma_4_arcsecond,sigma_4_arcsecond_err,aper_corr_flag,rmax_aper_corr,lambdar_re,lambdar_re_err,lambdar_max,lambdar_max_err,vsigma_re,vsigma_re_err,vsigma_max,vsigma_max_err,mean_k51_re,mean_k51_re_err,sigma_re_mge,sigma_re_mge_err,aper_corr_flag_mge,rmax_aper_corr_mge,lambdar_re_mge,lambdar_re_mge_err,lambdar_max_mge,lambdar_max_mge_err,vsigma_re_mge,vsigma_re_mge_err,vsigma_max_mge,vsigma_max_mge_err,mean_k51_re_mge,mean_k51_re_mge_err,observation_count,type,ra_obj,dec_obj,ra_ifu,dec_ifu,r_petro,r_auto,z_tonry,z_spec,m_r,r_e,mu_within_1re,mu_1re,mu_2re,ellip,pa,mstar,g_i,a_g,surv_sami,bad_class,sample_origin,r_on_rtwo,v_on_sigma,is_mem,flag_repeated_catid,flag_morphology_match,flag_main_input_match,flag_finite_m_r,flag_finite_mstar,flag_finite_sigma_re,flag_finite_sigma_re_err,flag_positive_sigma_re
6821_blue_red_7_Y18SAR4_P001_12T126_2018_05_07-2018_05_16,6821_A,6821_blue_7_Y18SAR4_P001_12T126_2018_05_07-2018_05_16.fits,6821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3.0,174.15315328,0.8154385533333334,174.15315328,0.81585522,14.659,15.807,0.00443,0.00375,-15.55,6.21,21.81,23.51,25.06,0.1558,23.36,7.42,-0.01,0.094,8.0,5.0,GAMA,,,,False,True,True,True,True,False,False,False
6837_blue_red_7_Y18SAR4_P001_12T126_2018_05_07-2018_05_16,6837_A,6837_blue_7_Y18SAR4_P001_12T126_2018_05_07-2018_05_16.fits,6837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3.0,,,,,,,,,,,,,,,,,,,,,,,,,False,True,False,False,False,False,False,False
7139_blue_red_7_Y18SAR3_P002_12T122_2018_05_07-2018_05_16,7139_A,7139_blue_7_Y18SAR3_P002_12T122_2018_05_07-2018_05_16.fits,7139,267.5,1.5,235.61281,3.0147629,232.86076,2.6190042,227.91887,3.23779,232.86076,2.538515,227.91617,2.3636317,228.24727,2.4224946,0.0,1.0,,,,,,,,,,,235.61281,3.229881,,,,,,,,,,,,,1,1.0,175.82830466,0.74788117,175.82830466,0.74788117,16.959,16.831,0.07697,0.07567,-20.98,1.23,18.73,20.03,21.62,0.4654,89.29,10.63,1.36,0.102,3.0,0.0,GAMA,,,,False,True,True,True,True,True,True,True
7206_blue_red_7_Y18SAR3_P002_12T122_2018_05_07-2018_05_16,7206_A,7206_blue_7_Y18SAR3_P002_12T122_2018_05_07-2018_05_16.fits,7206,277.0,1.4166666,106.10177,2.0713446,96.782265,2.1074984,97.54793,3.4475977,96.782265,2.5408862,97.520065,1.9334364,101.20757,1.9094087,0.0,1.0,0.54937583,0.014705206,,,0.69269425,0.022780344,,,0.034964137,0.008393184,104.364845,1.8333597,0.0,1.0,0.5397518,0.014969519,,,0.67574376,0.023065692,,,0.034964137,0.008393184,1,2.0,176.16409281,0.7495694,176.16409281,0.7495694,16.704,16.689,0.09471,0.09339,-21.55,3.33,20.89,21.78,23.49,0.3271,114.59,10.48,0.91,0.123,3.0,0.0,GAMA,,,,False,True,True,True,True,True,True,True
7289_blue_red_7_Y18SAR3_P002_12T122_2018_05_07-2018_05_16,7289_A,7289_blue_7_Y18SAR3_P002_12T122_2018_05_07-2018_05_16.fits,7289,84.5,12.75,205.14528,1.8772924,228.24532,2.3793814,227.96672,2.4607205,228.24532,2.5035534,224.60478,1.9799101,218.58223,2.003036,0.0,1.0,0.07193211,0.0075797155,,,0.0797666,0.0072175167,,,0.23975329,0.072991356,212.49521,1.5672057,0.0,1.0,0.05596431,0.0069313175,,,0.06152828,0.006164173,,,0.23975329,0.072991356,1,0.5,176.77502491,0.63568906,176.77502491,0.63568906,15.784,15.757,0.08813,0.08682,-22.37,4.96,20.72,22.17,23.74,0.2661,103.68,11.12,1.32,0.105,8.0,0.0,GAMA,,,,False,True,True,True,True,True,True,True
7715_blue_red_7_Y14SAR4_P002_12T064_2014_05_23-2014_06_01,7715_A,7715_blue_7_Y14SAR4_P002_12T064_2014_05_23-2014_06_01.fits,7715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.5,179.22873399,0.72391972,179.22873399,0.72391972,15.966,15.82,0.07927,0.07798,-22.06,4.28,20.9,22.34,23.9,0.2308,164.41,10.99,1.29,0.073,8.0,0.0,GAMA,,,,False,True,True,True,True,False,False,False
7839_blue_red_7_Y16SAR4_P002_12T101_2017_04_19-2017_05_01,7839_A,7839_blue_7_Y16SAR4_P002_12T101_2017_04_19-2017_05_01.fits,7839,49.5,1.25,195.76112,1.6140423,223.14139,1.5195676,232.88278,2.4152997,232.89111,2.2225654,223.14139,1.5342572,218.3499,1.3276602,0.0,1.0,0.32422054,0.004915802,,,0.32087862,0.0043023285,,,0.021447787,0.006136946,204.76128,1.5008167,0.0,1.0,0.30171224,0.0045705456,,,0.29396695,0.004307293,,,0.021447787,0.006136946,1,0.5,179.61542288,0.71790602,179.61542288,0.71790602,15.003,14.641,0.04874,0.04749,-22.1,6.95,20.5,21.92,23.5,0.2481,44.72,11.05,1.28,0.085,8.0,0.0,GAMA,,,,False,True,True,True,True,True,True,True
7841_blue_red_7_Y14SAR4_P002_12T064_2014_05_23-2014_06_01,7841_A,7841_blue_7_Y14SAR4_P002_12T064_2014_05_23-2014_06_01.fits,7841,152.0,0.5,178.64688,1.3856909,163.95634,1.4379294,164.38644,1.8259789,163.95634,1.2935094,164.26176,1.3325193,166.75992,1.1574533,0.0,1.0,0.5276075,0.005763804,,,0.6677948,0.008809911,,,0.018353065,0.0034451983,170.47298,1.3643739,0.0,1.0,0.54197115,0.005148543,,,0.67925894,0.007822743,,,0.018353065,0.0034451983,1,1.5,179.60882677,0.713106,179.60882677,0.713106,15.477,15.8,0.07981,0.07852,-22.07,2.74,18.99,19.99,21.65,0.6845,152.06,10.96,1.24,0.085,8.0,0.0,GAMA,,,,False,True,True,True,True,True,True,True
7946_blue_red_7_Y16SAR4_P002_12T101_2017_04_19-2017_05_01,7946_A,7946_blue_7_Y16SAR4_P002_12T101_2017_04_19-2017_05_01.fits,7946,240.0,0.8333333,177.09967,1.905963,176.82243,3.0034182,176.82243,2.7990422,178.00117,2.1596947,177.91025,1.8146595,176.05586,1.9567579,0.0,1.0,0.4208697,0.0085366815,,,0.47177184,0.010355506,,,0.027623381,0.008272254,176.48134,1.8079492,0.0,1.0,0.37809503,0.0087079555,,,0.42175353,0.010101035,,,0.027623381,0.008272254,1,2.0,179.93476301,0.63536903,179.93476301,0.63536903,16.429,16.443,0.10427,0.10295,-22.09,2.86,20.4,21.57,23.19,0.1931,85.07001,10.92,1.24,0.079,4.0,0.0,GAMA,,,,False,True,True,True,True,True,True,True
7969_blue_red_7_Y16SAR4_P002_12T101_2017_04_19-2017_05_01,7969_A,7969_blue_7_Y16SAR4_P002_12T101_2017_04_19-2017_05_01.fits,7969,117.5,11.166667,249.79765,2.4518452,258.8951,2.2880316,267.4869,3.1991794,258.8951,2.2900918,258.03995,2.0631237,255.9217,1.9588563,1.0,0.9281981,0.07408679,0.007457648,0.070236586,0.007457648,0.08016793,0.0068837274,0.076434724,0.0068837274,0.58738834,0.29351422,253.85786,1.9050815,0.0,1.0,0.044866167,0.00666484,,,0.05206474,0.005835871,,,0.58738834,0.29351422,1,0.5,180.03364558,0.67385043,180.03364558,0.67385043,16.037,15.976,0.08683,0.08554,-22.12,5.17,21.03,22.6,24.15,0.1772,161.03,11.02,1.32,0.091,8.0,0.0,GAMA,,,,False,True,True,True,True,True,True,True
