catid,observation_count,type,ra_obj,dec_obj,ra_ifu,dec_ifu,r_petro,r_auto,z_tonry,z_spec,m_r,r_e,mu_within_1re,mu_1re,mu_2re,ellip,pa,mstar,g_i,a_g,surv_sami,bad_class,sample_origin,r_on_rtwo,v_on_sigma,is_mem,flag_repeated_catid,flag_morphology_match,flag_main_input_match
100162,1,3.0,185.79312004,0.93489316,185.79312004,0.93489316,16.666,16.692,0.02701,0.02577,-18.67,2.75,20.24,20.84,22.75,0.4972,47.020004,9.15,0.59,0.096,8.0,0.0,GAMA,,,,False,True,True
100175,1,3.0,185.81839773,0.84313527,185.81839773,0.84313527,18.733,18.71,0.02764,0.02642,-16.67,6.78,22.05,23.05,24.71,0.8984,104.6,8.23,0.43,0.096,8.0,0.0,GAMA,,,,False,True,True
100192,1,3.0,185.92765521,0.96219254,185.92765521,0.96219254,16.089,16.059,0.02541,0.02409,-19.17,5.66,21.83,22.66,24.4,0.08,36.89,9.33,0.55,0.109,8.0,0.0,GAMA,,,,False,True,True
105420,1,2.0,211.73584945,1.0121215,211.73584945,1.0121215,16.115,16.105,0.04903,0.04811,-20.63,2.85,20.19,21.62,23.19,0.1384,176.11,10.38,1.17,0.156,8.0,0.0,GAMA,,,,False,True,True
105447,1,1.5,211.77308012,0.85639398,211.77308012,0.85639398,17.166,17.19,0.04959,0.04867,-19.58,2.89,20.06,20.9,22.63,0.7526,44.29001,10.11,1.35,0.149,8.0,0.0,GAMA,,,,False,True,True
105519,1,1.0,212.34017928,1.02774133,212.34017928,1.02774133,16.458,16.45,0.05862,0.0577,-20.7,1.44,18.47,19.87,21.44,0.508,40.01001,10.34,1.12,0.139,8.0,0.0,GAMA,,,,False,True,True
105573,1,3.0,212.54694217,0.86583754,212.54694217,0.86583754,17.803,17.796,0.02647,0.02556,-17.5,2.03,20.91,21.58,23.43,0.3875,13.220001,8.54,0.41,0.13,8.0,0.0,GAMA,,,,False,True,True
105597,1,2.0,212.74040486,1.03574282,212.74040486,1.03574282,14.552,14.48,0.02632,0.02541,-20.85,7.92,19.89,21.22,22.8,0.6226,108.880005,10.41,1.05,0.13,8.0,0.0,GAMA,,,,False,True,True
105600,1,3.0,212.68783542,1.04635322,212.68783542,1.04635322,17.068,17.062,0.02637,0.02546,-18.25,3.03,21.27,22.15,23.86,0.2009,78.73999,9.14,0.77,0.127,8.0,0.0,GAMA,,,,False,True,True
105738,1,1.0,213.24685982,0.92118465,213.24685982,0.92118465,15.99,15.854,0.05381,0.05291,-21.11,2.84,19.74,21.08,22.67,0.3627,123.84,10.5,1.08,0.124,8.0,0.0,GAMA,,,,False,True,True
105962,1,3.0,214.14783845,0.88663553,214.14783845,0.88663553,16.87,16.83,0.02643,0.02555,-18.47,6.02,22.38,23.08,24.9,0.3627,52.910004,8.96,0.46,0.144,8.0,0.0,GAMA,,,,False,True,True
106016,2,1.0,214.41821353,0.92016229,214.41821353,0.92016229,16.723,16.731,0.05439,0.05351,-20.25,1.94,19.1,20.51,22.09,0.6262,59.320007,10.23,1.2,0.147,8.0,0.0,GAMA,,,,True,True,True
106042,2,3.0,214.56213817,0.89109004,214.56213817,0.89109004,14.087,14.12,0.02683,0.02597,-21.23,13.74,21.37,22.42,24.07,0.2003,111.86,10.14,0.54,0.147,8.0,0.0,GAMA,,,,True,True,True
106047,1,1.5,214.56970139,0.98625433,214.56970139,0.98625433,16.635,16.649,0.05424,0.05336,-20.33,2.03,19.55,20.64,22.28,0.4688,30.179993,10.14,1.04,0.151,8.0,0.0,GAMA,,,,False,True,True
106049,2,3.0,214.59012585,0.94959438,214.59012585,0.94959438,17.6,17.653,0.027,0.02614,-17.72,3.43,21.55,22.25,24.07,0.5555,30.419998,8.76,0.57,0.147,8.0,0.0,GAMA,,,,True,True,True
106065,2,3.0,214.51342483,0.97595195,214.51342483,0.97595195,18.244,18.179,0.02632,0.02545,-17.1,3.91,21.88,22.48,24.4,0.7071,132.09,8.34,0.36,0.155,8.0,0.0,GAMA,,,,True,True,True
106331,1,3.0,215.5132047,0.86205313,215.5132047,0.86205313,16.135,16.057,0.03684,0.03599,-19.99,7.04,21.83,22.65,24.39,0.4376,150.73999,9.61,0.51,0.116,8.0,0.0,GAMA,,,,False,True,True
106343,1,3.0,215.63340032,0.84557671,215.63340032,0.84557671,17.72,17.691,0.04092,0.04007,-18.61,2.47,21.74,22.41,24.26,0.0257,29.980011,9.12,0.59,0.105,8.0,0.0,GAMA,,,,False,True,True
106376,1,3.0,215.81120597,0.97833926,215.81120597,0.97833926,14.935,14.841,0.04095,0.0401,-21.46,8.51,21.41,22.15,23.94,0.1453,63.58,10.27,0.59,0.113,8.0,0.0,GAMA,,,,False,True,True
106389,1,2.0,215.90105241,1.00760341,215.90105241,1.00760341,16.126,16.147,0.04094,0.04009,-20.19,5.95,20.42,21.24,22.98,0.7866,63.630005,10.2,1.15,0.114,8.0,0.0,GAMA,,,,False,True,True
106507,1,3.0,216.40845775,1.01267038,216.40845775,1.01267038,16.176,16.187,0.05559,0.05474,-20.83,5.94,20.77,21.25,23.33,0.7226,28.769989,10.22,0.88,0.118,8.0,0.0,GAMA,,,,False,True,True
106549,1,0.5,216.55409249,0.8605753,216.55409249,0.8605753,14.866,14.827,0.03269,0.03186,-20.98,3.14,19.26,20.42,22.04,0.0423,84.33002,10.27,0.84,0.114,8.0,0.0,GAMA,,,,False,True,True
106616,1,3.0,216.72112294,0.96286046,216.72112294,0.96286046,15.485,15.482,0.027,0.02618,-19.88,7.29,20.37,21.21,22.94,0.7409,90.32,9.66,0.61,0.117,8.0,0.0,GAMA,,,,False,True,True
